area,category_id,id,image_id,bbox_x,bbox_y,bbox_w,bbox_h
124960,29344,5439,1429,605,706,284,440
126096,29344,5438,1431,579,670,284,444
113710,29344,5437,1430,126,165,274,415
43681,3543,5441,1430,667,820,209,209
46640,10220,5435,1431,651,211,220,212
52432,10220,5436,1430,79,830,232,226
55430,16547,5432,1429,125,831,241,230
52206,16547,5433,1430,633,250,231,226
33231,1899,508,136,652,851,209,159
29700,1899,510,138,121,259,198,150
29550,1899,509,137,139,271,197,150
100868,33008,512,138,71,744,334,302
96760,33008,513,137,104,797,328,295
57072,44198,515,136,135,241,246,232
63744,44198,516,138,594,792,256,249
59272,44198,514,137,625,831,248,239
156629,16550,517,136,78,652,319,491
135700,16550,519,138,572,106,295,460
139712,16550,518,137,605,117,296,472
33489,3350,1917,507,394,197,183,183
35908,3350,1915,505,398,901,188,191
34780,3350,1916,506,351,139,185,188
42436,31862,1912,505,637,326,206,206
56256,38161,1909,505,213,287,192,293
60297,38161,1910,506,533,632,199,303
71020,5093,2353,620,524,150,268,265
83798,5093,2354,619,137,856,286,293
99145,22361,2350,620,82,74,251,395
108712,22361,2352,619,622,779,254,428
151682,23222,2347,620,548,641,298,509
151256,23222,2349,619,91,93,296,511
148680,23222,2348,621,90,60,295,504
91374,2482,2344,619,646,120,194,471
96316,2482,2346,621,648,84,199,484
79771,20876,3379,891,85,726,331,241
76923,20876,3380,890,116,768,333,231
34560,16231,3374,890,656,231,192,180
37436,16231,3372,889,134,847,196,191
42016,28762,3371,891,57,171,208,202
43255,28762,3370,890,71,177,211,205
48578,28762,3369,889,709,889,227,214
57603,3482,3377,891,625,718,211,273
56759,3482,3375,890,651,750,211,269
80100,27732,2281,601,566,261,300,267
217893,31884,2286,601,502,638,453,481
208120,31884,2284,602,38,106,440,473
60264,16261,2289,601,152,801,248,243
53580,16261,2288,602,565,219,235,228
35717,3350,4407,1156,395,858,187,191
35154,3350,4408,1157,354,182,186,189
49266,13899,4412,1158,594,806,207,238
57096,16261,4404,1156,573,310,244,234
59045,16261,4406,1158,153,765,245,241
36672,3350,3900,1027,353,884,192,191
33672,3350,3902,1029,435,217,184,183
51000,13899,3904,1028,555,706,204,250
46964,13899,3903,1027,190,284,199,236
48843,13899,3905,1029,593,798,201,243
36477,16231,3907,1028,136,779,193,189
112585,27925,3190,840,607,162,253,445
126825,27925,3189,839,128,667,267,475
28274,1899,3188,840,630,895,211,134
