area,iscrowd,bbox,category_id,ignore,segmentation,id,image_id,file_name,width,height,imgfile,drug_N,drug_S,back_color,drug_dir,light_color,camera_la,camera_lo,size,dl_mapping_code,dl_name,dl_name_en,img_key,dl_material,dl_material_en,dl_custom_shape,dl_company,dl_company_en,di_company_mf,di_company_mf_en,item_seq,di_item_permit_date,di_class_no,di_etc_otc_code,di_edi_code,chart,drug_shape,thick,leng_long,leng_short,print_front,print_back,color_class1,color_class2,line_front,line_back,img_regist_ts,form_code_name,mark_code_front_anal,mark_code_back_anal,mark_code_front_img,mark_code_back_img,mark_code_front,mark_code_back,change_date
124960,0,"[605, 706, 284, 440]",29344,0,[],5439,1429,K-003544-010221-016548-029345_0_2_0_2_90_000_200.png,976,1280,K-003544-010221-016548-029345_0_2_0_2_90_000_200.png,K-029345,정상알약,연회색 배경,앞면,주백색,90,0,200,K-029345,비모보정 500/20mg,Vimovo Tab. 500/20mg,http://connectdi.com/design/img/drug/154661642891500031.jpg,나프록센|에스오메프라졸마그네슘삼수화물,Esomeprazole Magnesium Trihydrate| Naproxen,"정제, 저작정",한국아스트라제네카(주),Astrazeneca Korea,,,201200417,20120119,[01140]해열.진통.소염제,전문의약품,650700800,핵정과 외핵으로 이루어진 양면이 볼록한 타원형의 노란색 필름코팅 정제    ,타원형,7.0,18.0,10.0,500/20,,노랑,,,,20120223,필름코팅정,,,,,,,20210713
126096,0,"[579, 670, 284, 444]",29344,0,[],5438,1431,K-003544-010221-016548-029345_0_2_0_2_75_000_200.png,976,1280,K-003544-010221-016548-029345_0_2_0_2_75_000_200.png,K-029345,정상알약,연회색 배경,앞면,주백색,75,0,200,K-029345,비모보정 500/20mg,Vimovo Tab. 500/20mg,http://connectdi.com/design/img/drug/154661642891500031.jpg,나프록센|에스오메프라졸마그네슘삼수화물,Esomeprazole Magnesium Trihydrate| Naproxen,"정제, 저작정",한국아스트라제네카(주),Astrazeneca Korea,,,201200417,20120119,[01140]해열.진통.소염제,전문의약품,650700800,핵정과 외핵으로 이루어진 양면이 볼록한 타원형의 노란색 필름코팅 정제    ,타원형,7.0,18.0,10.0,500/20,,노랑,,,,20120223,필름코팅정,,,,,,,20210713
113710,0,"[126, 165, 274, 415]",29344,0,[],5437,1430,K-003544-010221-016548-029345_0_2_0_2_70_000_200.png,976,1280,K-003544-010221-016548-029345_0_2_0_2_70_000_200.png,K-029345,정상알약,연회색 배경,앞면,주백색,70,0,200,K-029345,비모보정 500/20mg,Vimovo Tab. 500/20mg,http://connectdi.com/design/img/drug/154661642891500031.jpg,나프록센|에스오메프라졸마그네슘삼수화물,Esomeprazole Magnesium Trihydrate| Naproxen,"정제, 저작정",한국아스트라제네카(주),Astrazeneca Korea,,,201200417,20120119,[01140]해열.진통.소염제,전문의약품,650700800,핵정과 외핵으로 이루어진 양면이 볼록한 타원형의 노란색 필름코팅 정제    ,타원형,7.0,18.0,10.0,500/20,,노랑,,,,20120223,필름코팅정,,,,,,,20210713
43681,0,"[667, 820, 209, 209]",3543,0,[],5441,1430,K-003544-010221-016548-029345_0_2_0_2_70_000_200.png,976,1280,K-003544-010221-016548-029345_0_2_0_2_70_000_200.png,K-003544,정상알약,연회색 배경,앞면,주백색,70,0,200,K-003544,무코스타정(레바미피드)(비매품),Mucosta Tab.,http://connectdi.com/design/img/drug/1N1ddmFmE2M.jpg,레바미피드,Rebamipide,"정제, 저작정",한국오츠카제약(주),Korea Otsuka Pharmaceutical,,,199102825,19910731,[02320]소화성궤양용제,전문의약품,"649900060,A42700141",백색의 원형필름코팅정,원형,3.4,8.1,8.1,OG33,,하양,,,,20041222,필름코팅정,,,,,,,20130904
46640,0,"[651, 211, 220, 212]",10220,0,[],5435,1431,K-003544-010221-016548-029345_0_2_0_2_75_000_200.png,976,1280,K-003544-010221-016548-029345_0_2_0_2_75_000_200.png,K-010221,정상알약,연회색 배경,앞면,주백색,75,0,200,K-010221,쎄로켈정 100mg,SEROQUEL Tab. 100mg,http://connectdi.com/design/img/drug/1N9r98JmP3S.jpg,쿠에티아핀푸마르산염,Quetiapine Fumarate,"정제, 저작정",알보젠코리아(주),Alvogen Korea,AstraZeneca Pharmaceutical Co. Ltd.,,200009023,20001108,[01170]정신신경용제,전문의약품,"650700350,652606730,E06610501",노란색의 원형필름코팅정   ,원형,4.3,8.5,8.5,SEROQUEL  100,,노랑,,,,20041222,필름코팅정,,,,,,,20201210
52432,0,"[79, 830, 232, 226]",10220,0,[],5436,1430,K-003544-010221-016548-029345_0_2_0_2_70_000_200.png,976,1280,K-003544-010221-016548-029345_0_2_0_2_70_000_200.png,K-010221,정상알약,연회색 배경,앞면,주백색,70,0,200,K-010221,쎄로켈정 100mg,SEROQUEL Tab. 100mg,http://connectdi.com/design/img/drug/1N9r98JmP3S.jpg,쿠에티아핀푸마르산염,Quetiapine Fumarate,"정제, 저작정",알보젠코리아(주),Alvogen Korea,AstraZeneca Pharmaceutical Co. Ltd.,,200009023,20001108,[01170]정신신경용제,전문의약품,"650700350,652606730,E06610501",노란색의 원형필름코팅정   ,원형,4.3,8.5,8.5,SEROQUEL  100,,노랑,,,,20041222,필름코팅정,,,,,,,20201210
55430,0,"[125, 831, 241, 230]",16547,0,[],5432,1429,K-003544-010221-016548-029345_0_2_0_2_90_000_200.png,976,1280,K-003544-010221-016548-029345_0_2_0_2_90_000_200.png,K-016548,정상알약,연회색 배경,앞면,주백색,90,0,200,K-016548,가바토파정 100mg,Gabatopa Tab. 100mg,,토피라메이트,Topiramate,"정제, 저작정",동아에스티(주),Dong-A St,,,200500251,20050628,[01130]항전간제,전문의약품,"642500020,A01508461",,,0.0,0.0,0.0,,,,,,,,,,,,,,,
52206,0,"[633, 250, 231, 226]",16547,0,[],5433,1430,K-003544-010221-016548-029345_0_2_0_2_70_000_200.png,976,1280,K-003544-010221-016548-029345_0_2_0_2_70_000_200.png,K-016548,정상알약,연회색 배경,앞면,주백색,70,0,200,K-016548,가바토파정 100mg,Gabatopa Tab. 100mg,,토피라메이트,Topiramate,"정제, 저작정",동아에스티(주),Dong-A St,,,200500251,20050628,[01130]항전간제,전문의약품,"642500020,A01508461",,,0.0,0.0,0.0,,,,,,,,,,,,,,,
33231,0,"[652, 851, 209, 159]",1899,0,[],508,136,K-001900-016551-033009-044199_0_2_0_2_70_000_200.png,976,1280,K-001900-016551-033009-044199_0_2_0_2_70_000_200.png,K-001900,정상알약,연회색 배경,앞면,주백색,70,0,200,K-001900,보령부스파정 5mg,Buspar Tab. 5mg Boryung,http://connectdi.com/design/img/drug/1Mxwka5v0lL.jpg,부스피론염산염,Buspirone Hydrochloride,"정제, 저작정",보령제약(주),Boryung,,,198700706,19870323,[01170]정신신경용제,전문의약품,"641901280,A09302381",이약은 양면볼록한 장방형의 흰색정제이다,장방형,2.5,8.0,4.5,BSP,5,하양,,,,20070910,나정,,,,,,,20160825
29700,0,"[121, 259, 198, 150]",1899,0,[],510,138,K-001900-016551-033009-044199_0_2_0_2_75_000_200.png,976,1280,K-001900-016551-033009-044199_0_2_0_2_75_000_200.png,K-001900,정상알약,연회색 배경,앞면,주백색,75,0,200,K-001900,보령부스파정 5mg,Buspar Tab. 5mg Boryung,http://connectdi.com/design/img/drug/1Mxwka5v0lL.jpg,부스피론염산염,Buspirone Hydrochloride,"정제, 저작정",보령제약(주),Boryung,,,198700706,19870323,[01170]정신신경용제,전문의약품,"641901280,A09302381",이약은 양면볼록한 장방형의 흰색정제이다,장방형,2.5,8.0,4.5,BSP,5,하양,,,,20070910,나정,,,,,,,20160825
29550,0,"[139, 271, 197, 150]",1899,0,[],509,137,K-001900-016551-033009-044199_0_2_0_2_90_000_200.png,976,1280,K-001900-016551-033009-044199_0_2_0_2_90_000_200.png,K-001900,정상알약,연회색 배경,앞면,주백색,90,0,200,K-001900,보령부스파정 5mg,Buspar Tab. 5mg Boryung,http://connectdi.com/design/img/drug/1Mxwka5v0lL.jpg,부스피론염산염,Buspirone Hydrochloride,"정제, 저작정",보령제약(주),Boryung,,,198700706,19870323,[01170]정신신경용제,전문의약품,"641901280,A09302381",이약은 양면볼록한 장방형의 흰색정제이다,장방형,2.5,8.0,4.5,BSP,5,하양,,,,20070910,나정,,,,,,,20160825
100868,0,"[71, 744, 334, 302]",33008,0,[],512,138,K-001900-016551-033009-044199_0_2_0_2_75_000_200.png,976,1280,K-001900-016551-033009-044199_0_2_0_2_75_000_200.png,K-033009,정상알약,연회색 배경,앞면,주백색,75,0,200,K-033009,신바로정,Shinbaro Tab.,http://connectdi.com/design/img/drug/148431162903300172.jpg,자오가·우슬·방풍·두충·구척·흑두건조엑스,Acanthopanax·Achyranthes·Ledebouriella etc Dried ext.,"정제, 저작정",(주)녹십자,Green Cross Corp,,,201401963,20140423,[01140]해열.진통.소염제,전문의약품,643605030,갈색의 장방형 필름코팅정,타원형,5.3,14.5,8.0,S300,,갈색,,,,20140925,필름코팅정,,,,,,,20151015
