area,bbox,category_id,id,image_id
124960,"[605, 706, 284, 440]",29344,5439,1429
126096,"[579, 670, 284, 444]",29344,5438,1431
113710,"[126, 165, 274, 415]",29344,5437,1430
43681,"[667, 820, 209, 209]",3543,5441,1430
46640,"[651, 211, 220, 212]",10220,5435,1431
52432,"[79, 830, 232, 226]",10220,5436,1430
55430,"[125, 831, 241, 230]",16547,5432,1429
52206,"[633, 250, 231, 226]",16547,5433,1430
33231,"[652, 851, 209, 159]",1899,508,136
29700,"[121, 259, 198, 150]",1899,510,138
29550,"[139, 271, 197, 150]",1899,509,137
100868,"[71, 744, 334, 302]",33008,512,138
96760,"[104, 797, 328, 295]",33008,513,137
57072,"[135, 241, 246, 232]",44198,515,136
63744,"[594, 792, 256, 249]",44198,516,138
59272,"[625, 831, 248, 239]",44198,514,137
156629,"[78, 652, 319, 491]",16550,517,136
135700,"[572, 106, 295, 460]",16550,519,138
139712,"[605, 117, 296, 472]",16550,518,137
33489,"[394, 197, 183, 183]",3350,1917,507
35908,"[398, 901, 188, 191]",3350,1915,505
34780,"[351, 139, 185, 188]",3350,1916,506
42436,"[637, 326, 206, 206]",31862,1912,505
56256,"[213, 287, 192, 293]",38161,1909,505
60297,"[533, 632, 199, 303]",38161,1910,506
71020,"[524, 150, 268, 265]",5093,2353,620
83798,"[137, 856, 286, 293]",5093,2354,619
99145,"[82, 74, 251, 395]",22361,2350,620
108712,"[622, 779, 254, 428]",22361,2352,619
151682,"[548, 641, 298, 509]",23222,2347,620
151256,"[91, 93, 296, 511]",23222,2349,619
148680,"[90, 60, 295, 504]",23222,2348,621
91374,"[646, 120, 194, 471]",2482,2344,619
96316,"[648, 84, 199, 484]",2482,2346,621
79771,"[85, 726, 331, 241]",20876,3379,891
76923,"[116, 768, 333, 231]",20876,3380,890
34560,"[656, 231, 192, 180]",16231,3374,890
37436,"[134, 847, 196, 191]",16231,3372,889
42016,"[57, 171, 208, 202]",28762,3371,891
43255,"[71, 177, 211, 205]",28762,3370,890
48578,"[709, 889, 227, 214]",28762,3369,889
57603,"[625, 718, 211, 273]",3482,3377,891
56759,"[651, 750, 211, 269]",3482,3375,890
80100,"[566, 261, 300, 267]",27732,2281,601
217893,"[502, 638, 453, 481]",31884,2286,601
208120,"[38, 106, 440, 473]",31884,2284,602
60264,"[152, 801, 248, 243]",16261,2289,601
53580,"[565, 219, 235, 228]",16261,2288,602
35717,"[395, 858, 187, 191]",3350,4407,1156
35154,"[354, 182, 186, 189]",3350,4408,1157
49266,"[594, 806, 207, 238]",13899,4412,1158
57096,"[573, 310, 244, 234]",16261,4404,1156
59045,"[153, 765, 245, 241]",16261,4406,1158
36672,"[353, 884, 192, 191]",3350,3900,1027
33672,"[435, 217, 184, 183]",3350,3902,1029
51000,"[555, 706, 204, 250]",13899,3904,1028
46964,"[190, 284, 199, 236]",13899,3903,1027
48843,"[593, 798, 201, 243]",13899,3905,1029
36477,"[136, 779, 193, 189]",16231,3907,1028
112585,"[607, 162, 253, 445]",27925,3190,840
126825,"[128, 667, 267, 475]",27925,3189,839
28274,"[630, 895, 211, 134]",1899,3188,840
25728,"[158, 249, 201, 128]",1899,3187,839
40590,"[178, 269, 205, 198]",33207,3185,840
44075,"[589, 800, 215, 205]",33207,3184,838
42400,"[616, 835, 212, 200]",33207,3183,839
57348,"[122, 861, 243, 236]",16547,3182,840
51975,"[593, 163, 231, 225]",16547,3180,838
53562,"[621, 168, 237, 226]",16547,3181,839
189526,"[543, 675, 386, 491]",25366,1817,480
182952,"[81, 96, 378, 484]",25366,1818,478
36695,"[145, 776, 179, 205]",27776,1811,479
34300,"[638, 296, 175, 196]",27776,1812,480
35175,"[179, 812, 175, 201]",27776,1810,478
44164,"[637, 175, 181, 244]",36636,1814,479
48768,"[129, 829, 192, 254]",36636,1815,480
46189,"[665, 181, 187, 247]",36636,1813,478
60116,"[539, 778, 266, 226]",3482,1819,479
57860,"[174, 275, 263, 220]",3482,1821,480
58830,"[565, 812, 265, 222]",3482,1820,478
336600,"[645, 830, 170, 198]",1899,4797,1256
30996,"[185, 254, 164, 189]",1899,4799,1257
30178,"[167, 244, 158, 191]",1899,4798,1255
103456,"[132, 127, 244, 424]",31704,4791,1256
113703,"[621, 731, 251, 453]",31704,4792,1257
115164,"[598, 693, 252, 457]",31704,4793,1255
24174,"[175, 895, 158, 153]",19606,4790,1257
25599,"[142, 862, 161, 159]",19606,4788,1255
150304,"[91, 665, 308, 488]",16550,4796,1256
142846,"[598, 104, 302, 473]",16550,4795,1257
135952,"[568, 90, 293, 464]",16550,4794,1255
36864,"[375, 888, 192, 192]",3350,169,43
33306,"[414, 213, 182, 183]",3350,171,45
44275,"[190, 297, 175, 253]",13899,166,43
45843,"[620, 764, 177, 259]",13899,168,45
50850,"[606, 280, 226, 225]",29666,163,43
50398,"[137, 812, 226, 223]",29666,165,45
54755,"[93, 722, 233, 235]",29666,164,44
18492,"[209, 314, 134, 138]",23202,700,184
19321,"[628, 822, 139, 139]",23202,701,185
44944,"[629, 886, 212, 212]",3543,703,184
40200,"[142, 171, 201, 200]",3543,704,185
43890,"[149, 915, 209, 210]",4542,699,184
41820,"[628, 145, 205, 204]",4542,697,186
51060,"[594, 292, 230, 222]",16547,694,184
53580,"[167, 780, 235, 228]",16547,696,186
77837,"[135, 829, 277, 281]",5093,5314,1397
71288,"[525, 163, 268, 266]",5093,5313,1396
81795,"[135, 844, 285, 287]",5093,5315,1398
107256,"[638, 62, 218, 492]",2482,5323,1397
105750,"[626, 101, 225, 470]",2482,5322,1398
159249,"[105, 124, 327, 487]",19551,5321,1397
156325,"[508, 598, 325, 481]",19551,5320,1396
159239,"[110, 150, 323, 493]",19551,5319,1398
115038,"[633, 676, 231, 498]",13394,5318,1397
112984,"[80, 80, 232, 487]",13394,5316,1396
126936,"[640, 675, 246, 516]",13394,5317,1398
33048,"[587, 829, 204, 162]",1899,1872,494
32028,"[613, 861, 204, 157]",1899,1870,495
30906,"[185, 292, 202, 153]",1899,1871,493
32757,"[91, 832, 183, 179]",21025,1874,494
32037,"[125, 865, 181, 177]",21025,1875,495
30967,"[684, 274, 179, 173]",21025,1873,493
23560,"[135, 212, 155, 152]",19606,1869,494
24021,"[151, 219, 157, 153]",19606,1868,495
52640,"[622, 143, 235, 224]",16547,1866,495
35432,"[643, 855, 206, 172]",1899,4707,1236
31785,"[152, 254, 195, 163]",1899,4709,1235
30807,"[135, 244, 189, 163]",1899,4708,1234
76703,"[87, 255, 367, 209]",33008,4711,1236
73854,"[550, 838, 373, 198]",33008,4712,1235
80640,"[519, 792, 384, 210]",33008,4710,1234
34762,"[638, 316, 191, 182]",21770,4715,1236
36480,"[129, 768, 192, 190]",21770,4714,1234
58800,"[121, 884, 245, 240]",16547,4706,1236
54720,"[620, 145, 240, 228]",16547,4705,1235
52891,"[592, 140, 233, 227]",16547,4704,1234
85560,"[132, 776, 310, 276]",27732,1614,429
89958,"[94, 733, 319, 282]",27732,1612,428
79426,"[558, 258, 302, 263]",27732,1613,427
49203,"[665, 180, 231, 213]",29666,1611,429
46640,"[637, 177, 220, 212]",29666,1609,428
53130,"[89, 862, 231, 230]",29666,1610,427
57132,"[580, 758, 276, 207]",3482,1616,428
53658,"[122, 309, 271, 198]",3482,1617,427
167171,"[73, 159, 479, 349]",34596,1608,429
171550,"[57, 125, 470, 365]",34596,1607,428
189720,"[435, 730, 510, 372]",34596,1606,427
46161,"[94, 852, 223, 207]",27652,3099,817
44200,"[671, 255, 221, 200]",27652,3100,818
150103,"[81, 140, 367, 409]",30307,3107,819
34034,"[621, 222, 187, 182]",16231,3108,819
38407,"[141, 845, 199, 193]",16231,3110,818
47595,"[585, 845, 285, 167]",3482,3102,817
50112,"[558, 812, 288, 174]",3482,3104,819
48300,"[131, 288, 276, 175]",3482,3103,818
138648,"[575, 716, 327, 424]",29344,3541,931
139750,"[550, 679, 325, 430]",29344,3542,932
26000,"[179, 269, 130, 200]",1899,3531,931
27040,"[688, 806, 130, 208]",1899,3533,933
25110,"[164, 918, 162, 155]",19606,3539,931
24327,"[667, 252, 159, 153]",19606,3538,933
25440,"[133, 886, 160, 159]",19606,3537,932
137690,"[25, 738, 490, 281]",16550,3536,933
128908,"[452, 219, 481, 268]",16550,3535,932
35717,"[363, 877, 187, 191]",3350,4377,1147
34034,"[385, 161, 182, 187]",3350,4378,1148
33670,"[426, 221, 185, 182]",3350,4379,1149
75628,"[130, 294, 259, 292]",41767,4371,1147
84152,"[595, 720, 268, 314]",41767,4373,1149
35910,"[590, 306, 190, 189]",16231,4374,1147
37830,"[148, 730, 194, 195]",16231,4375,1148
93765,"[575, 191, 329, 285]",25468,4441,1166
106704,"[51, 786, 351, 304]",25468,4440,1165
197208,"[569, 681, 396, 498]",25366,4437,1166
190957,"[45, 86, 397, 481]",25366,4439,1167
178600,"[31, 72, 380, 470]",25366,4438,1165
44796,"[675, 173, 174, 254]",36636,4444,1167
41990,"[645, 171, 170, 247]",36636,4443,1165
51952,"[126, 271, 272, 191]",3482,4435,1166
52173,"[602, 845, 279, 187]",3482,4436,1167
53847,"[575, 811, 279, 193]",3482,4434,1165
29118,"[608, 899, 211, 138]",1899,1475,391
30740,"[581, 866, 212, 145]",1899,1474,393
42612,"[125, 167, 212, 201]",33207,1468,391
45998,"[657, 901, 218, 211]",33207,1469,392
32396,"[125, 865, 182, 178]",21025,1478,391
32578,"[91, 832, 182, 179]",21025,1479,393
31140,"[683, 274, 180, 173]",21025,1477,392
137085,"[587, 58, 285, 481]",16550,1473,391
130480,"[556, 51, 280, 466]",16550,1472,393
