fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,warmup_bias_lr,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste,cutmix,bgr
0.97125,0.01,0.05,0.937,0.0005,2.5,0.8,0.1,7.5,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9706,0.01065,0.0541,0.86011,0.00055,2.5,0.8,0.1,7.5,0.483,1.36036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97144,0.01,0.05648,0.937,0.0006,2.5,0.8,0.1,7.56879,0.40514,1.11957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97221,0.00978,0.05209,0.92508,0.00051,2.46494,0.80846,0.10491,7.66454,0.50167,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96861,0.00438,0.05209,0.93731,0.00055,2.297,0.84198,0.10491,6.61641,0.50167,1.5194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97131,0.00822,0.06142,0.9166,0.00053,2.5,0.8,0.12241,6.76742,0.46194,1.26522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96774,0.01364,0.05,0.85,0.0006,2.22308,0.83787,0.08576,8.0,0.40514,1.08542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96938,0.00863,0.05624,0.85,0.00046,2.5,0.8,0.12241,6.08667,0.42203,1.28052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9707,0.00831,0.06142,0.9111,0.00053,2.5,0.80075,0.12128,6.73257,0.46194,1.28481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97036,0.00968,0.05209,0.92892,0.00051,2.47627,0.81608,0.10593,7.6136,0.49764,1.48972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97055,0.01018,0.05523,0.94867,0.0006,2.5,0.80062,0.09872,7.56379,0.40344,1.09713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97151,0.00982,0.05235,0.93809,0.00051,2.49311,0.80151,0.10568,7.65957,0.51282,1.48277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96988,0.00982,0.05239,0.93754,0.00051,2.5,0.80668,0.10598,7.65957,0.51188,1.48982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97189,0.00982,0.05402,0.91781,0.00048,2.5,0.80151,0.10787,8.0,0.51177,1.48277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97306,0.00941,0.05402,0.91234,0.00051,2.45134,0.86147,0.10787,8.0,0.54401,1.38876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96919,0.00954,0.05353,0.90552,0.0005,2.46494,0.80705,0.11094,7.78302,0.52598,1.56231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01014,0.05209,0.98,0.00046,2.3829,0.84146,0.103,7.94285,0.59484,1.50195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97309,0.00941,0.05,0.89638,0.00041,2.45134,0.85606,0.10116,8.0,0.5273,1.4603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96829,0.01007,0.05062,0.92508,0.00051,2.5,0.8,0.10165,7.66454,0.5124,1.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97056,0.00995,0.0571,0.91781,0.00045,2.46891,0.8,0.10027,7.63,0.51177,1.89239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01111,0.05867,0.98,0.00041,2.37796,0.8,0.14553,6.92999,0.61912,1.44618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97116,0.00941,0.05262,0.90026,0.00051,2.38455,0.8526,0.11611,7.6498,0.56366,1.42239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96956,0.00932,0.05432,0.92508,0.00051,2.46494,0.806,0.10988,7.66454,0.51711,1.41707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97128,0.0092,0.05,0.91234,0.00051,2.5,0.86147,0.10787,6.96176,0.70115,1.26767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96874,0.00947,0.05,0.85,0.00038,2.5,0.8,0.11574,8.0,0.46577,1.68828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97065,0.00941,0.05706,0.85,0.00058,2.35565,0.94282,0.17192,6.96139,0.54401,1.31113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97064,0.00919,0.05496,0.91344,0.00052,2.5,0.83723,0.11739,7.84029,0.58387,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97062,0.00978,0.06265,0.85,0.00058,2.06859,0.91177,0.10491,6.97684,0.50167,1.49795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97116,0.00952,0.05602,0.91234,0.00052,2.45652,0.84241,0.11028,7.83411,0.54269,1.3619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97062,0.00725,0.05209,0.91935,0.0006,2.23692,0.8,0.10741,8.0,0.52636,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96964,0.00915,0.05305,0.91234,0.00051,2.44754,0.85501,0.10978,7.89415,0.53629,1.39783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96824,0.01006,0.05,0.85,0.00041,2.2535,0.94626,0.08791,8.0,0.54314,1.24366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97027,0.01032,0.05,0.89638,0.00041,2.5,0.95,0.08633,8.0,0.41895,1.37591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96952,0.00975,0.05209,0.9414,0.00051,2.4436,0.81907,0.1049,7.55696,0.50167,1.48602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97172,0.00915,0.05119,0.89638,0.00041,2.45134,0.82798,0.10069,7.8774,0.51105,1.46812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97132,0.00967,0.05,0.89638,0.00039,2.03975,0.8,0.10116,8.0,0.56009,1.37712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97178,0.0094,0.0747,0.93857,0.00048,2.5,0.80151,0.10787,8.0,0.38585,1.6585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9696,0.00942,0.0501,0.89545,0.00041,2.45091,0.8544,0.10129,8.0,0.52569,1.46148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97227,0.00979,0.05217,0.92673,0.00051,2.46668,0.80922,0.10503,7.66454,0.50117,1.49693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97037,0.01011,0.05,0.85177,0.00036,2.5,0.81314,0.13478,8.0,0.61537,1.44716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
