images_file_name,annotations_bbox_x,annotations_bbox_y,annotations_bbox_w,annotations_bbox_h,categories_id
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,173,279,201,141,1899
K-001900-016548-018110-021026_0_2_0_2_75_000_200.png,596,854,212,148,1899
K-001900-016548-018110-021026_0_2_0_2_90_000_200.png,621,887,208,143,1899
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,140,866,240,240,16547
K-001900-016548-018110-021026_0_2_0_2_75_000_200.png,579,158,232,224,16547
K-001900-016548-018110-021026_0_2_0_2_90_000_200.png,605,163,238,226,16547
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,628,845,323,306,18109
K-001900-016548-018110-021026_0_2_0_2_75_000_200.png,46,113,298,287,18109
K-001900-016548-018110-021026_0_2_0_2_90_000_200.png,50,120,305,305,18109
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,674,274,176,173,21025
K-001900-016548-018110-021026_0_2_0_2_75_000_200.png,105,834,182,180,21025
K-001900-016548-018110-021026_0_2_0_2_90_000_200.png,125,860,192,190,21025
K-001900-016548-018110-027926_0_2_0_2_70_000_200.png,630,894,211,133,1899
K-001900-016548-018110-027926_0_2_0_2_75_000_200.png,142,241,200,127,1899
K-001900-016548-018110-027926_0_2_0_2_90_000_200.png,157,250,203,127,1899
K-001900-016548-018110-027926_0_2_0_2_70_000_200.png,110,850,245,240,16547
K-001900-016548-018110-027926_0_2_0_2_75_000_200.png,601,170,233,227,16547
K-001900-016548-018110-027926_0_2_0_2_90_000_200.png,630,175,238,228,16547
K-001900-016548-018110-027926_0_2_0_2_70_000_200.png,637,273,308,282,18109
K-001900-016548-018110-027926_0_2_0_2_75_000_200.png,14,692,311,298,18109
K-001900-016548-018110-027926_0_2_0_2_90_000_200.png,45,725,305,305,18109
K-001900-016548-018110-027926_0_2_0_2_70_000_200.png,143,142,262,459,27925
K-001900-016548-018110-027926_0_2_0_2_75_000_200.png,570,629,258,490,27925
K-001900-016548-018110-027926_0_2_0_2_90_000_200.png,601,670,251,488,27925
K-001900-016548-018110-029345_0_2_0_2_70_000_200.png,685,808,130,209,1899
K-001900-016548-018110-029345_0_2_0_2_75_000_200.png,162,256,128,201,1899
K-001900-016548-018110-029345_0_2_0_2_90_000_200.png,181,265,131,202,1899
K-001900-016548-018110-029345_0_2_0_2_70_000_200.png,183,885,241,243,16547
K-001900-016548-018110-029345_0_2_0_2_75_000_200.png,537,141,235,225,16547
K-001900-016548-018110-029345_0_2_0_2_90_000_200.png,566,142,238,228,16547
K-001900-016548-018110-029345_0_2_0_2_70_000_200.png,613,249,299,291,18109
K-001900-016548-018110-029345_0_2_0_2_75_000_200.png,45,720,306,300,18109
K-001900-016548-018110-029345_0_2_0_2_90_000_200.png,78,762,306,293,18109
K-001900-016548-018110-029345_0_2_0_2_70_000_200.png,111,283,271,424,29344
K-001900-016548-018110-029345_0_2_0_2_75_000_200.png,591,535,274,440,29344
K-001900-016548-018110-029345_0_2_0_2_90_000_200.png,622,568,269,444,29344
K-001900-016548-018110-029451_0_2_0_2_70_000_200.png,643,846,190,190,1899
K-001900-016548-018110-029451_0_2_0_2_75_000_200.png,149,240,180,180,1899
K-001900-016548-018110-029451_0_2_0_2_90_000_200.png,168,245,183,182,1899
K-001900-016548-018110-029451_0_2_0_2_70_000_200.png,169,841,244,238,16547
K-001900-016548-018110-029451_0_2_0_2_75_000_200.png,549,179,233,226,16547
K-001900-016548-018110-029451_0_2_0_2_90_000_200.png,576,187,242,225,16547
K-001900-016548-018110-029451_0_2_0_2_70_000_200.png,614,224,297,289,18109
K-001900-016548-018110-029451_0_2_0_2_75_000_200.png,44,747,313,301,18109
K-001900-016548-018110-029451_0_2_0_2_90_000_200.png,74,787,313,301,18109
K-001900-016548-018110-029451_0_2_0_2_70_000_200.png,114,215,394,262,29450
K-001900-016548-018110-029451_0_2_0_2_75_000_200.png,464,786,408,269,29450
K-001900-016548-018110-029451_0_2_0_2_90_000_200.png,484,820,408,269,29450
K-001900-016548-018110-031705_0_2_0_2_70_000_200.png,654,901,214,150,1899
K-001900-016548-018110-031705_0_2_0_2_75_000_200.png,114,224,202,141,1899
K-001900-016548-018110-031705_0_2_0_2_90_000_200.png,131,231,204,138,1899
K-001900-016548-018110-031705_0_2_0_2_70_000_200.png,127,851,243,238,16547
K-001900-016548-018110-031705_0_2_0_2_75_000_200.png,588,172,236,226,16547
K-001900-016548-018110-031705_0_2_0_2_90_000_200.png,619,177,238,227,16547
K-001900-016548-018110-031705_0_2_0_2_70_000_200.png,613,218,298,288,18109
K-001900-016548-018110-031705_0_2_0_2_75_000_200.png,47,755,308,301,18109
K-001900-016548-018110-031705_0_2_0_2_90_000_200.png,79,802,310,288,18109
K-001900-016548-018110-031705_0_2_0_2_70_000_200.png,133,128,246,425,31704
K-001900-016548-018110-031705_0_2_0_2_75_000_200.png,599,697,250,454,31704
K-001900-016548-018110-031705_0_2_0_2_90_000_200.png,619,732,252,450,31704
K-001900-016548-018110-033009_0_2_0_2_70_000_200.png,643,854,207,173,1899
K-001900-016548-018110-033009_0_2_0_2_75_000_200.png,134,244,191,164,1899
K-001900-016548-018110-033009_0_2_0_2_90_000_200.png,134,244,220,175,1899
K-001900-016548-018110-033009_0_2_0_2_70_000_200.png,128,894,248,237,16547
K-001900-016548-018110-033009_0_2_0_2_75_000_200.png,580,120,245,235,16547
K-001900-016548-018110-033009_0_2_0_2_90_000_200.png,613,136,238,227,16547
K-001900-016548-018110-033009_0_2_0_2_70_000_200.png,611,222,300,286,18109
K-001900-016548-018110-033009_0_2_0_2_75_000_200.png,40,740,305,310,18109
K-001900-016548-018110-033009_0_2_0_2_90_000_200.png,75,780,305,310,18109
K-001900-016548-018110-033009_0_2_0_2_70_000_200.png,86,257,369,209,33008
K-001900-016548-018110-033009_0_2_0_2_75_000_200.png,521,791,380,211,33008
K-001900-016548-018110-033009_0_2_0_2_90_000_200.png,551,837,375,200,33008
K-001900-016548-019607-021026_0_2_0_2_70_000_200.png,185,292,202,153,1899
K-001900-016548-019607-021026_0_2_0_2_75_000_200.png,587,829,204,162,1899
K-001900-016548-019607-021026_0_2_0_2_90_000_200.png,613,861,204,157,1899
K-001900-016548-019607-021026_0_2_0_2_70_000_200.png,115,880,250,250,16547
K-001900-016548-019607-021026_0_2_0_2_75_000_200.png,585,128,245,244,16547
K-001900-016548-019607-021026_0_2_0_2_90_000_200.png,622,143,235,224,16547
K-001900-016548-019607-021026_0_2_0_2_70_000_200.png,680,892,168,170,19606
K-001900-016548-019607-021026_0_2_0_2_75_000_200.png,135,212,155,152,19606
K-001900-016548-019607-021026_0_2_0_2_90_000_200.png,151,219,157,153,19606
K-001900-016548-019607-021026_0_2_0_2_70_000_200.png,684,274,179,173,21025
K-001900-016548-019607-021026_0_2_0_2_75_000_200.png,91,832,183,179,21025
K-001900-016548-019607-021026_0_2_0_2_90_000_200.png,125,865,181,177,21025
K-001900-016548-019607-027926_0_2_0_2_70_000_200.png,630,880,220,155,1899
K-001900-016548-019607-027926_0_2_0_2_75_000_200.png,143,241,199,128,1899
K-001900-016548-019607-027926_0_2_0_2_90_000_200.png,159,250,201,127,1899
K-001900-016548-019607-027926_0_2_0_2_70_000_200.png,120,855,250,250,16547
K-001900-016548-019607-027926_0_2_0_2_75_000_200.png,596,161,230,223,16547
K-001900-016548-019607-027926_0_2_0_2_90_000_200.png,622,166,235,224,16547
K-001900-016548-019607-027926_0_2_0_2_70_000_200.png,688,299,158,149,19606
K-001900-016548-019607-027926_0_2_0_2_75_000_200.png,110,828,162,158,19606
K-001900-016548-019607-027926_0_2_0_2_90_000_200.png,142,863,159,154,19606
K-001900-016548-019607-027926_0_2_0_2_70_000_200.png,145,144,259,454,27925
K-001900-016548-019607-027926_0_2_0_2_75_000_200.png,571,630,259,489,27925
K-001900-016548-019607-027926_0_2_0_2_90_000_200.png,600,673,252,487,27925
K-001900-016548-019607-029345_0_2_0_2_70_000_200.png,685,795,130,225,1899
K-001900-016548-019607-029345_0_2_0_2_75_000_200.png,160,258,127,200,1899
K-001900-016548-019607-029345_0_2_0_2_90_000_200.png,178,269,130,200,1899
K-001900-016548-019607-029345_0_2_0_2_70_000_200.png,100,820,240,240,16547
K-001900-016548-019607-029345_0_2_0_2_75_000_200.png,619,202,229,225,16547
K-001900-016548-019607-029345_0_2_0_2_90_000_200.png,646,211,240,228,16547
K-001900-016548-019607-029345_0_2_0_2_70_000_200.png,667,252,157,153,19606
K-001900-016548-019607-029345_0_2_0_2_75_000_200.png,132,886,160,158,19606
K-001900-016548-019607-029345_0_2_0_2_90_000_200.png,164,918,161,155,19606
K-001900-016548-019607-029345_0_2_0_2_70_000_200.png,115,165,314,407,29344
K-001900-016548-019607-029345_0_2_0_2_75_000_200.png,551,682,324,427,29344
K-001900-016548-019607-029345_0_2_0_2_90_000_200.png,575,718,326,421,29344
K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,644,845,189,190,1899
K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,148,241,181,181,1899
K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,167,248,184,182,1899
K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,144,799,239,239,16547
K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,578,222,233,226,16547
K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,604,232,239,227,16547
K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,657,287,155,150,19606
K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,142,848,163,158,19606
K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,177,880,158,155,19606
K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,108,218,392,264,29450
K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,471,779,407,272,29450
K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,505,816,397,269,29450
K-001900-016548-019607-031705_0_2_0_2_70_000_200.png,645,830,170,200,1899
K-001900-016548-019607-031705_0_2_0_2_75_000_200.png,168,245,157,191,1899
K-001900-016548-019607-031705_0_2_0_2_90_000_200.png,184,254,164,190,1899
K-001900-016548-019607-031705_0_2_0_2_70_000_200.png,118,804,242,237,16547
K-001900-016548-019607-031705_0_2_0_2_75_000_200.png,600,222,230,223,16547
K-001900-016548-019607-031705_0_2_0_2_90_000_200.png,627,231,238,224,16547
K-001900-016548-019607-031705_0_2_0_2_70_000_200.png,645,260,165,165,19606
K-001900-016548-019607-031705_0_2_0_2_75_000_200.png,142,863,160,158,19606
K-001900-016548-019607-031705_0_2_0_2_90_000_200.png,175,895,159,152,19606
K-001900-016548-019607-031705_0_2_0_2_70_000_200.png,135,129,241,424,31704
K-001900-016548-019607-031705_0_2_0_2_75_000_200.png,598,698,250,455,31704
K-001900-016548-019607-031705_0_2_0_2_90_000_200.png,622,732,250,452,31704
K-001900-016548-019607-033009_0_2_0_2_70_000_200.png,642,856,208,167,1899
K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,133,245,192,156,1899
K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,151,255,199,157,1899
K-001900-016548-019607-033009_0_2_0_2_70_000_200.png,88,855,255,255,16547
K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,620,159,231,226,16547
K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,646,166,245,227,16547
K-001900-016548-019607-033009_0_2_0_2_70_000_200.png,662,333,157,150,19606
K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,140,787,160,157,19606
K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,171,821,159,155,19606
K-001900-016548-019607-033009_0_2_0_2_70_000_200.png,88,255,366,209,33008
K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,519,791,381,209,33008
K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,550,838,373,198,33008
K-001900-016548-021026-021771_0_2_0_2_70_000_200.png,175,270,210,150,1899
K-001900-016548-021026-021771_0_2_0_2_75_000_200.png,595,854,213,147,1899
K-001900-016548-021026-021771_0_2_0_2_90_000_200.png,621,887,209,144,1899
K-001900-016548-021026-021771_0_2_0_2_70_000_200.png,100,864,241,239,16547
K-001900-016548-021026-021771_0_2_0_2_75_000_200.png,615,161,229,224,16547
K-001900-016548-021026-021771_0_2_0_2_90_000_200.png,640,164,241,239,16547
K-001900-016548-021026-021771_0_2_0_2_70_000_200.png,674,273,178,174,21025
K-001900-016548-021026-021771_0_2_0_2_75_000_200.png,104,835,182,181,21025
K-001900-016548-021026-021771_0_2_0_2_90_000_200.png,136,869,180,177,21025
K-001900-016548-021026-021771_0_2_0_2_70_000_200.png,688,884,197,195,21770
K-001900-016548-021026-021771_0_2_0_2_75_000_200.png,100,196,186,183,21770
K-001900-016548-021026-021771_0_2_0_2_90_000_200.png,117,203,191,187,21770
K-001900-016548-021026-024850_0_2_0_2_70_000_200.png,188,274,202,137,1899
K-001900-016548-021026-024850_0_2_0_2_75_000_200.png,581,866,213,144,1899
K-001900-016548-021026-024850_0_2_0_2_90_000_200.png,600,900,220,140,1899
K-001900-016548-021026-024850_0_2_0_2_70_000_200.png,143,870,254,250,16547
K-001900-016548-021026-024850_0_2_0_2_75_000_200.png,573,145,233,225,16547
K-001900-016548-021026-024850_0_2_0_2_90_000_200.png,603,149,234,226,16547
K-001900-016548-021026-024850_0_2_0_2_70_000_200.png,684,275,179,172,21025
K-001900-016548-021026-024850_0_2_0_2_75_000_200.png,91,832,182,179,21025
K-001900-016548-021026-024850_0_2_0_2_90_000_200.png,120,860,185,185,21025
K-001900-016548-021026-024850_0_2_0_2_70_000_200.png,674,828,189,302,24849
K-001900-016548-021026-024850_0_2_0_2_75_000_200.png,118,142,185,280,24849
K-001900-016548-021026-024850_0_2_0_2_90_000_200.png,134,140,189,302,24849
K-001900-016548-021026-033208_0_2_0_2_70_000_200.png,188,273,202,138,1899
K-001900-016548-021026-033208_0_2_0_2_75_000_200.png,581,867,213,143,1899
K-001900-016548-021026-033208_0_2_0_2_90_000_200.png,609,901,210,136,1899
K-001900-016548-021026-033208_0_2_0_2_70_000_200.png,75,807,242,240,16547
K-001900-016548-021026-033208_0_2_0_2_75_000_200.png,641,211,233,228,16547
K-001900-016548-021026-033208_0_2_0_2_90_000_200.png,671,221,239,230,16547
K-001900-016548-021026-033208_0_2_0_2_70_000_200.png,685,270,182,179,21025
K-001900-016548-021026-033208_0_2_0_2_75_000_200.png,91,832,182,179,21025
K-001900-016548-021026-033208_0_2_0_2_90_000_200.png,125,865,181,178,21025
K-001900-016548-021026-033208_0_2_0_2_70_000_200.png,658,899,217,210,33207
K-001900-016548-021026-033208_0_2_0_2_75_000_200.png,111,161,206,195,33207
K-001900-016548-021026-033208_0_2_0_2_90_000_200.png,124,168,210,200,33207
K-001900-016548-021026-044199_0_2_0_2_70_000_200.png,188,272,205,138,1899
K-001900-016548-021026-044199_0_2_0_2_75_000_200.png,580,860,215,150,1899
K-001900-016548-021026-044199_0_2_0_2_90_000_200.png,609,900,210,136,1899
K-001900-016548-021026-044199_0_2_0_2_70_000_200.png,122,868,244,238,16547
K-001900-016548-021026-044199_0_2_0_2_75_000_200.png,593,156,234,225,16547
K-001900-016548-021026-044199_0_2_0_2_90_000_200.png,622,162,238,226,16547
K-001900-016548-021026-044199_0_2_0_2_70_000_200.png,684,274,180,173,21025
K-001900-016548-021026-044199_0_2_0_2_75_000_200.png,90,832,183,179,21025
K-001900-016548-021026-044199_0_2_0_2_90_000_200.png,115,857,188,188,21025
K-001900-016548-021026-044199_0_2_0_2_70_000_200.png,646,861,263,236,44198
K-001900-016548-021026-044199_0_2_0_2_75_000_200.png,78,176,248,224,44198
K-001900-016548-021026-044199_0_2_0_2_90_000_200.png,91,186,259,224,44198
K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,629,893,213,136,1899
K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,142,242,198,127,1899
K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,158,251,201,126,1899
K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,108,847,242,238,16547
K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,609,174,234,227,16547
K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,639,180,238,227,16547
K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,643,312,190,181,21770
K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,125,775,195,189,21770
K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,158,811,191,187,21770
K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,145,144,261,456,27925
K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,572,629,261,488,27925
K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,602,674,255,484,27925
K-001900-016548-021771-029345_0_2_0_2_70_000_200.png,688,805,131,210,1899
K-001900-016548-021771-029345_0_2_0_2_75_000_200.png,161,257,130,200,1899
K-001900-016548-021771-029345_0_2_0_2_90_000_200.png,181,266,131,200,1899
K-001900-016548-021771-029345_0_2_0_2_70_000_200.png,145,760,247,247,16547
K-001900-016548-021771-029345_0_2_0_2_75_000_200.png,570,250,237,227,16547
K-001900-016548-021771-029345_0_2_0_2_90_000_200.png,600,265,237,226,16547
K-001900-016548-021771-029345_0_2_0_2_70_000_200.png,619,252,188,180,21770
K-001900-016548-021771-029345_0_2_0_2_75_000_200.png,135,847,203,195,21770
K-001900-016548-021771-029345_0_2_0_2_90_000_200.png,183,883,192,187,21770
K-001900-016548-021771-029345_0_2_0_2_70_000_200.png,118,158,275,411,29344
K-001900-016548-021771-029345_0_2_0_2_75_000_200.png,589,677,283,451,29344
K-001900-016548-021771-029345_0_2_0_2_90_000_200.png,612,716,289,446,29344
K-001900-016548-021771-029451_0_2_0_2_70_000_200.png,643,845,190,190,1899
K-001900-016548-021771-029451_0_2_0_2_75_000_200.png,149,242,181,180,1899
K-001900-016548-021771-029451_0_2_0_2_90_000_200.png,168,249,184,181,1899
K-001900-016548-021771-029451_0_2_0_2_70_000_200.png,103,807,241,239,16547
K-001900-016548-021771-029451_0_2_0_2_75_000_200.png,616,216,234,226,16547
K-001900-016548-021771-029451_0_2_0_2_90_000_200.png,643,225,244,227,16547
K-001900-016548-021771-029451_0_2_0_2_70_000_200.png,644,289,188,183,21770
K-001900-016548-021771-029451_0_2_0_2_75_000_200.png,124,808,195,185,21770
K-001900-016548-021771-029451_0_2_0_2_90_000_200.png,157,841,194,184,21770
K-001900-016548-021771-029451_0_2_0_2_70_000_200.png,108,238,413,220,29450
K-001900-016548-021771-029451_0_2_0_2_75_000_200.png,460,811,423,220,29450
K-001900-016548-021771-029451_0_2_0_2_90_000_200.png,490,847,416,218,29450
K-001900-016548-021771-031705_0_2_0_2_70_000_200.png,642,852,215,160,1899
K-001900-016548-021771-031705_0_2_0_2_75_000_200.png,124,262,197,146,1899
K-001900-016548-021771-031705_0_2_0_2_90_000_200.png,140,271,204,146,1899
K-001900-016548-021771-031705_0_2_0_2_70_000_200.png,165,841,242,237,16547
K-001900-016548-021771-031705_0_2_0_2_75_000_200.png,545,168,242,237,16547
K-001900-016548-021771-031705_0_2_0_2_90_000_200.png,582,190,238,227,16547
K-001900-016548-021771-031705_0_2_0_2_70_000_200.png,675,288,187,180,21770
