images_file_name,annotations_bbox_x,annotations_bbox_y,annotations_bbox_w,annotations_bbox_h,categories_id
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,173,279,201,141,1899
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,140,866,240,240,16547
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,628,845,323,306,18109
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,674,274,176,173,21025
K-001900-016548-018110-027926_0_2_0_2_75_000_200.png,142,241,200,127,1899
K-001900-016548-018110-027926_0_2_0_2_75_000_200.png,601,170,233,227,16547
K-001900-016548-018110-027926_0_2_0_2_75_000_200.png,14,692,311,298,18109
K-001900-016548-018110-027926_0_2_0_2_75_000_200.png,570,629,258,490,27925
K-001900-016548-018110-029345_0_2_0_2_70_000_200.png,685,808,130,209,1899
K-001900-016548-018110-029345_0_2_0_2_70_000_200.png,183,885,241,243,16547
K-001900-016548-018110-029345_0_2_0_2_70_000_200.png,613,249,299,291,18109
K-001900-016548-018110-029345_0_2_0_2_70_000_200.png,111,283,271,424,29344
K-001900-016548-018110-029451_0_2_0_2_70_000_200.png,643,846,190,190,1899
K-001900-016548-018110-029451_0_2_0_2_75_000_200.png,149,240,180,180,1899
K-001900-016548-018110-029451_0_2_0_2_70_000_200.png,169,841,244,238,16547
K-001900-016548-018110-029451_0_2_0_2_75_000_200.png,549,179,233,226,16547
K-001900-016548-018110-029451_0_2_0_2_70_000_200.png,614,224,297,289,18109
K-001900-016548-018110-029451_0_2_0_2_75_000_200.png,44,747,313,301,18109
K-001900-016548-018110-029451_0_2_0_2_70_000_200.png,114,215,394,262,29450
K-001900-016548-018110-029451_0_2_0_2_75_000_200.png,464,786,408,269,29450
K-001900-016548-018110-031705_0_2_0_2_75_000_200.png,114,224,202,141,1899
K-001900-016548-018110-031705_0_2_0_2_90_000_200.png,131,231,204,138,1899
K-001900-016548-018110-031705_0_2_0_2_75_000_200.png,588,172,236,226,16547
K-001900-016548-018110-031705_0_2_0_2_90_000_200.png,619,177,238,227,16547
K-001900-016548-018110-031705_0_2_0_2_75_000_200.png,47,755,308,301,18109
K-001900-016548-018110-031705_0_2_0_2_90_000_200.png,79,802,310,288,18109
K-001900-016548-018110-031705_0_2_0_2_75_000_200.png,599,697,250,454,31704
K-001900-016548-018110-031705_0_2_0_2_90_000_200.png,619,732,252,450,31704
K-001900-016548-018110-033009_0_2_0_2_70_000_200.png,643,854,207,173,1899
K-001900-016548-018110-033009_0_2_0_2_70_000_200.png,128,894,248,237,16547
K-001900-016548-018110-033009_0_2_0_2_70_000_200.png,611,222,300,286,18109
K-001900-016548-018110-033009_0_2_0_2_70_000_200.png,86,257,369,209,33008
K-001900-016548-019607-021026_0_2_0_2_90_000_200.png,613,861,204,157,1899
K-001900-016548-019607-021026_0_2_0_2_90_000_200.png,622,143,235,224,16547
K-001900-016548-019607-021026_0_2_0_2_90_000_200.png,151,219,157,153,19606
K-001900-016548-019607-021026_0_2_0_2_90_000_200.png,125,865,181,177,21025
K-001900-016548-019607-027926_0_2_0_2_75_000_200.png,143,241,199,128,1899
K-001900-016548-019607-027926_0_2_0_2_75_000_200.png,596,161,230,223,16547
K-001900-016548-019607-027926_0_2_0_2_75_000_200.png,110,828,162,158,19606
K-001900-016548-019607-027926_0_2_0_2_75_000_200.png,571,630,259,489,27925
K-001900-016548-019607-029345_0_2_0_2_75_000_200.png,160,258,127,200,1899
K-001900-016548-019607-029345_0_2_0_2_75_000_200.png,619,202,229,225,16547
K-001900-016548-019607-029345_0_2_0_2_75_000_200.png,132,886,160,158,19606
K-001900-016548-019607-029345_0_2_0_2_75_000_200.png,551,682,324,427,29344
K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,644,845,189,190,1899
K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,148,241,181,181,1899
K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,167,248,184,182,1899
K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,144,799,239,239,16547
K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,578,222,233,226,16547
K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,604,232,239,227,16547
K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,657,287,155,150,19606
K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,142,848,163,158,19606
K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,177,880,158,155,19606
K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,108,218,392,264,29450
K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,471,779,407,272,29450
K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,505,816,397,269,29450
K-001900-016548-019607-031705_0_2_0_2_75_000_200.png,168,245,157,191,1899
K-001900-016548-019607-031705_0_2_0_2_90_000_200.png,184,254,164,190,1899
K-001900-016548-019607-031705_0_2_0_2_75_000_200.png,600,222,230,223,16547
K-001900-016548-019607-031705_0_2_0_2_90_000_200.png,627,231,238,224,16547
K-001900-016548-019607-031705_0_2_0_2_75_000_200.png,142,863,160,158,19606
K-001900-016548-019607-031705_0_2_0_2_90_000_200.png,175,895,159,152,19606
K-001900-016548-019607-031705_0_2_0_2_75_000_200.png,598,698,250,455,31704
K-001900-016548-019607-031705_0_2_0_2_90_000_200.png,622,732,250,452,31704
K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,133,245,192,156,1899
K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,151,255,199,157,1899
K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,620,159,231,226,16547
K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,646,166,245,227,16547
K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,140,787,160,157,19606
K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,171,821,159,155,19606
K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,519,791,381,209,33008
K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,550,838,373,198,33008
K-001900-016548-021026-021771_0_2_0_2_75_000_200.png,595,854,213,147,1899
K-001900-016548-021026-021771_0_2_0_2_75_000_200.png,615,161,229,224,16547
K-001900-016548-021026-021771_0_2_0_2_75_000_200.png,104,835,182,181,21025
K-001900-016548-021026-021771_0_2_0_2_75_000_200.png,100,196,186,183,21770
K-001900-016548-021026-024850_0_2_0_2_75_000_200.png,581,866,213,144,1899
K-001900-016548-021026-024850_0_2_0_2_75_000_200.png,573,145,233,225,16547
K-001900-016548-021026-024850_0_2_0_2_75_000_200.png,91,832,182,179,21025
K-001900-016548-021026-024850_0_2_0_2_75_000_200.png,118,142,185,280,24849
K-001900-016548-021026-033208_0_2_0_2_75_000_200.png,581,867,213,143,1899
K-001900-016548-021026-033208_0_2_0_2_90_000_200.png,609,901,210,136,1899
K-001900-016548-021026-033208_0_2_0_2_75_000_200.png,641,211,233,228,16547
K-001900-016548-021026-033208_0_2_0_2_90_000_200.png,671,221,239,230,16547
K-001900-016548-021026-033208_0_2_0_2_75_000_200.png,91,832,182,179,21025
K-001900-016548-021026-033208_0_2_0_2_90_000_200.png,125,865,181,178,21025
K-001900-016548-021026-033208_0_2_0_2_75_000_200.png,111,161,206,195,33207
K-001900-016548-021026-033208_0_2_0_2_90_000_200.png,124,168,210,200,33207
K-001900-016548-021026-044199_0_2_0_2_70_000_200.png,188,272,205,138,1899
K-001900-016548-021026-044199_0_2_0_2_70_000_200.png,122,868,244,238,16547
K-001900-016548-021026-044199_0_2_0_2_70_000_200.png,684,274,180,173,21025
K-001900-016548-021026-044199_0_2_0_2_70_000_200.png,646,861,263,236,44198
K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,629,893,213,136,1899
K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,142,242,198,127,1899
K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,158,251,201,126,1899
K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,108,847,242,238,16547
K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,609,174,234,227,16547
K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,639,180,238,227,16547
K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,643,312,190,181,21770
K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,125,775,195,189,21770
K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,158,811,191,187,21770
K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,145,144,261,456,27925
K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,572,629,261,488,27925
K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,602,674,255,484,27925
K-001900-016548-021771-029345_0_2_0_2_90_000_200.png,181,266,131,200,1899
K-001900-016548-021771-029345_0_2_0_2_90_000_200.png,600,265,237,226,16547
K-001900-016548-021771-029345_0_2_0_2_90_000_200.png,183,883,192,187,21770
K-001900-016548-021771-029345_0_2_0_2_90_000_200.png,612,716,289,446,29344
K-001900-016548-021771-029451_0_2_0_2_75_000_200.png,149,242,181,180,1899
K-001900-016548-021771-029451_0_2_0_2_75_000_200.png,616,216,234,226,16547
K-001900-016548-021771-029451_0_2_0_2_75_000_200.png,124,808,195,185,21770
K-001900-016548-021771-029451_0_2_0_2_75_000_200.png,460,811,423,220,29450
K-001900-016548-021771-031705_0_2_0_2_90_000_200.png,140,271,204,146,1899
K-001900-016548-021771-031705_0_2_0_2_90_000_200.png,582,190,238,227,16547
K-001900-016548-021771-031705_0_2_0_2_90_000_200.png,126,848,193,184,21770
K-001900-016548-021771-031705_0_2_0_2_90_000_200.png,636,729,252,449,31704
K-001900-016548-021771-033009_0_2_0_2_70_000_200.png,643,855,206,172,1899
K-001900-016548-021771-033009_0_2_0_2_75_000_200.png,135,244,189,163,1899
K-001900-016548-021771-033009_0_2_0_2_70_000_200.png,121,884,245,240,16547
K-001900-016548-021771-033009_0_2_0_2_75_000_200.png,592,140,233,227,16547
K-001900-016548-021771-033009_0_2_0_2_70_000_200.png,638,316,191,182,21770
K-001900-016548-021771-033009_0_2_0_2_75_000_200.png,129,768,192,190,21770
