images_file_name,annotations_bbox_x,annotations_bbox_y,annotations_bbox_w,annotations_bbox_h,categories_id
K-001900-010224-016551-031705_0_2_0_2_70_000_200.png,120,258,205,160,1899
K-001900-010224-016551-031705_0_2_0_2_75_000_200.png,128,258,196,148,1899
K-001900-010224-016551-031705_0_2_0_2_90_000_200.png,144,264,203,148,1899
K-001900-010224-016551-031705_0_2_0_2_70_000_200.png,125,695,270,450,16550
K-001900-010224-016551-031705_0_2_0_2_75_000_200.png,109,648,288,496,16550
K-001900-010224-016551-031705_0_2_0_2_90_000_200.png,142,701,287,477,16550
K-001900-010224-016551-031705_0_2_0_2_70_000_200.png,590,735,254,420,31704
K-001900-010224-016551-031705_0_2_0_2_75_000_200.png,590,705,254,440,31704
K-001900-010224-016551-031705_0_2_0_2_90_000_200.png,617,735,254,448,31704
K-001900-010224-016551-033009_0_2_0_2_70_000_200.png,644,854,205,177,1899
K-001900-010224-016551-033009_0_2_0_2_75_000_200.png,138,245,184,165,1899
K-001900-010224-016551-033009_0_2_0_2_90_000_200.png,153,253,192,168,1899
K-001900-010224-016551-033009_0_2_0_2_70_000_200.png,500,190,445,320,16550
K-001900-010224-016551-033009_0_2_0_2_75_000_200.png,4,730,475,316,16550
K-001900-010224-016551-033009_0_2_0_2_90_000_200.png,43,776,466,321,16550
K-001900-010224-016551-033009_0_2_0_2_70_000_200.png,89,257,365,209,33008
K-001900-010224-016551-033009_0_2_0_2_75_000_200.png,520,780,370,220,33008
K-001900-010224-016551-033009_0_2_0_2_90_000_200.png,550,836,376,199,33008
K-002483-003743-012081-022627_0_2_0_2_70_000_200.png,88,665,259,476,2482
K-002483-003743-012081-022627_0_2_0_2_75_000_200.png,588,94,234,481,2482
K-002483-003743-012081-022627_0_2_0_2_90_000_200.png,595,69,243,483,2482
K-002483-003743-012081-022627_0_2_0_2_70_000_200.png,495,169,315,297,3742
K-002483-003743-012081-022627_0_2_0_2_75_000_200.png,120,796,330,329,3742
K-002483-003743-012081-022627_0_2_0_2_90_000_200.png,495,169,315,297,3742
K-002483-003743-012081-022627_0_2_0_2_70_000_200.png,530,590,307,482,22626
K-002483-003743-012081-022627_0_2_0_2_75_000_200.png,99,135,313,485,22626
K-002483-003743-012081-022627_0_2_0_2_90_000_200.png,99,135,313,485,22626
K-002483-005094-012081-019552_0_2_0_2_70_000_200.png,56,696,254,478,2482
K-002483-005094-012081-019552_0_2_0_2_75_000_200.png,626,70,219,465,2482
K-002483-005094-012081-019552_0_2_0_2_90_000_200.png,628,36,253,471,2482
K-002483-005094-012081-019552_0_2_0_2_70_000_200.png,551,191,271,266,5093
K-002483-005094-012081-019552_0_2_0_2_75_000_200.png,551,191,271,266,5093
K-002483-005094-012081-019552_0_2_0_2_90_000_200.png,104,800,281,277,5093
K-002483-005094-012081-019552_0_2_0_2_70_000_200.png,521,552,305,492,19551
K-002483-005094-012081-019552_0_2_0_2_75_000_200.png,114,190,314,493,19551
K-002483-005094-012081-019552_0_2_0_2_90_000_200.png,115,158,308,498,19551
K-002483-012081-023223-025438_0_2_0_2_70_000_200.png,66,121,228,422,12080
K-002483-012081-023223-025438_0_2_0_2_75_000_200.png,655,708,253,467,12080
K-002483-012081-023223-025438_0_2_0_2_90_000_200.png,645,704,244,448,12080
K-002483-012081-023223-025438_0_2_0_2_70_000_200.png,577,569,286,506,23222
K-002483-012081-023223-025438_0_2_0_2_75_000_200.png,70,172,297,495,23222
K-002483-012081-023223-025438_0_2_0_2_90_000_200.png,69,135,296,494,23222
K-002483-012081-023223-025438_0_2_0_2_70_000_200.png,556,193,247,254,25437
K-002483-012081-023223-025438_0_2_0_2_75_000_200.png,123,832,263,269,25437
K-002483-012081-023223-025438_0_2_0_2_90_000_200.png,122,822,256,253,25437
K-003351-019232-020238_0_2_0_2_70_000_200.png,500,237,337,259,19231
K-003351-019232-020238_0_2_0_2_75_000_200.png,94,698,341,267,19231
K-003351-019232-020238_0_2_0_2_90_000_200.png,94,698,341,267,19231
K-003351-019232-020238_0_2_0_2_70_000_200.png,118,300,230,220,20237
K-003351-019232-020238_0_2_0_2_75_000_200.png,118,300,230,220,20237
K-003351-019232-020238_0_2_0_2_90_000_200.png,633,802,227,223,20237
K-003483-016232-020877-022347_0_2_0_2_70_000_200.png,144,293,208,254,3482
K-003483-016232-020877-022347_0_2_0_2_75_000_200.png,625,717,210,272,3482
K-003483-016232-020877-022347_0_2_0_2_90_000_200.png,625,717,210,272,3482
K-003483-016232-020877-022347_0_2_0_2_70_000_200.png,133,847,197,192,16231
K-003483-016232-020877-022347_0_2_0_2_75_000_200.png,626,221,189,185,16231
K-003483-016232-020877-022347_0_2_0_2_90_000_200.png,658,232,191,179,16231
K-003483-016232-020877-022347_0_2_0_2_70_000_200.png,543,293,328,235,20876
K-003483-016232-020877-022347_0_2_0_2_75_000_200.png,87,726,329,242,20876
K-003483-016232-020877-022347_0_2_0_2_90_000_200.png,117,768,329,231,20876
K-003483-016232-022347-027653_0_2_0_2_70_000_200.png,133,286,275,175,3482
K-003483-016232-022347-027653_0_2_0_2_75_000_200.png,559,811,287,174,3482
K-003483-016232-022347-027653_0_2_0_2_90_000_200.png,585,846,285,167,3482
